,Problem,Rationale,options,correct,annotated_formula,linear_formula,category,prompt,text,clean,cluster,gpt_generated,gpt_score
257,a train running at the speed of 60 km / hr crosses a pole in 30 seconds . what is the length of the train ?,"""speed = ( 60 * 5 / 18 ) m / sec = ( 50 / 3 ) m / sec length of the train = ( speed x time ) = ( 50 / 3 * 30 ) m = 500 m . answer : a""","a ) 500 m , b ) 620 m , c ) 872 m , d ) 150 m , e ) 765 m",a,"multiply(divide(multiply(60, const_1000), const_3600), 30)","multiply(n0,const_1000)|divide(#0,const_3600)|multiply(n1,#1)|",physics,Category: physics # speed = ( 60 * 5 / 18 ) m / sec = ( 50 / 3 ) m / sec length of the train = ( speed x time ) = ( 50 / 3 * 30 ) m = 500 m . answer : a # ,Category: physics # speed = ( 60 * 5 / 18 ) m / sec = ( 50 / 3 ) m / sec length of the train = ( speed x time ) = ( 50 / 3 * 30 ) m = 500 m . answer : a # a train running at the speed of 60 km / hr crosses a pole in 30 seconds . what is the length of the train ?,category physics speed 60 5 18 sec 50 3 sec length train speed x time 50 3 30 500 answer train running speed 60 km hr crosses pole 30 seconds length train,1,['Category: physics # speed = ( 60 * 5 / 18 ) m / sec = ( 50 / 3 ) m / sec length of the train = ( speed x time ) = ( 50 / 3 * 30 ) m = 500 m. answer : a # т the speed of a train is 60 km / hr and it crosses a man standing on the platform in 30 seconds. then what is the length of the train?'],"(0.64, 0.0)"
264,"in an examination , a student scores 4 marks for every correct answer and loses 1 mark for every wrong answer . if he attempts all 80 questions and secures 120 marks , the number of questions he attempts correctly , is :","""let the number of correct answers be x . number of incorrect answers = ( 80 â € “ x ) . 4 x â € “ 1 ( 80 â € “ x ) = 120 or 5 x = 200 or x = 40 . answer : e""","a ) 35 , b ) 46 , c ) 42 , d ) 30 , e ) 40",e,"divide(add(120, 80), add(4, 1))","add(n2,n3)|add(n0,n1)|divide(#0,#1)|",physics,Category: physics # let the number of correct answers be x . number of incorrect answers = ( 80 â € “ x ) . 4 x â € “ 1 ( 80 â € “ x ) = 120 or 5 x = 200 or x = 40 . answer : e # ,"Category: physics # let the number of correct answers be x . number of incorrect answers = ( 80 â € “ x ) . 4 x â € “ 1 ( 80 â € “ x ) = 120 or 5 x = 200 or x = 40 . answer : e # in an examination , a student scores 4 marks for every correct answer and loses 1 mark for every wrong answer . if he attempts all 80 questions and secures 120 marks , the number of questions he attempts correctly , is :",category physics let number correct answers x number incorrect answers 80 â x 4 x â 1 80 â x 120 5 x 200 x 40 answer e examination student scores 4 marks every correct answer loses 1 mark every wrong answer attempts 80 questions secures 120 marks number questions attempts correctly,4,['Category: physics # let the number of correct answers be x. number of incorrect answers = ( 80 â € “ x ). 4 x â € “ 1 ( 80 â € “ x ) = 120 or 5 x = 200 or x = 40. answer : e # ƫ makes 100 balls in 80 matches. he earns an average of 50 per game for the first 3 matches. he scores another 83 rounds and falls. what is his average?'],"(0.56, 5.0)"
268,"a garrison of 500 men has provisions for 20 days . at the end of 14 days , a reinforcement arrives , and it is now found that the provisions will last only for 3 days more . what is the reinforcement ?","""500 - - - - 20 500 - - - - 6 x - - - - - 3 x * 3 = 500 * 6 x = 1000 500 - - - - - - - 500 answer : a""","a ) 500 , b ) 1000 , c ) 1500 , d ) 3000 , e ) 2000",a,"subtract(divide(subtract(multiply(500, 20), multiply(500, 14)), 3), 500)","multiply(n0,n1)|multiply(n0,n2)|subtract(#0,#1)|divide(#2,n3)|subtract(#3,n0)|",physics,Category: physics # 500 - - - - 20 500 - - - - 6 x - - - - - 3 x * 3 = 500 * 6 x = 1000 500 - - - - - - - 500 answer : a # ,"Category: physics # 500 - - - - 20 500 - - - - 6 x - - - - - 3 x * 3 = 500 * 6 x = 1000 500 - - - - - - - 500 answer : a # a garrison of 500 men has provisions for 20 days . at the end of 14 days , a reinforcement arrives , and it is now found that the provisions will last only for 3 days more . what is the reinforcement ?",category physics 500 20 500 6 x 3 x 3 500 6 x 1000 500 500 answer garrison 500 men provisions 20 days end 14 days reinforcement arrives found provisions last 3 days reinforcement,2,"['Category: physics # 500 - - - - 20 500 - - - - 6 x - - - - - 3 x * 3 = 500 * 6 x = 1000 500 - - - - - - - 500 answer : a # т decided to hire three workers. she decided to hire 3 of the 3 candidates, after she got 20 % of the total number of candidates got selected and she replaced the rest of the total number of candidates got selected. how many of the 3 candidates did she bring?']","(0.4, 3.0)"
269,how long does a train 165 meters long running at the rate of 54 kmph take to cross a bridge 660 meters in length ?,"""t = ( 660 + 165 ) / 54 * 18 / 5 t = 55 answer a""","a ) 55 sec , b ) 40 sec , c ) 45 sec , d ) 30 sec , e ) 35 sec",a,"divide(add(165, 660), multiply(54, const_0_2778))","add(n0,n2)|multiply(n1,const_0_2778)|divide(#0,#1)|",physics,Category: physics # t = ( 660 + 165 ) / 54 * 18 / 5 t = 55 answer a # ,Category: physics # t = ( 660 + 165 ) / 54 * 18 / 5 t = 55 answer a # how long does a train 165 meters long running at the rate of 54 kmph take to cross a bridge 660 meters in length ?,category physics 660 165 54 18 5 55 answer long train 165 meters long running rate 54 kmph take cross bridge 660 meters length,1,"['Category: physics # t = ( 660 + 165 ) / 54 * 18 / 5 t = 55 answer a # ƫ on one day monday is 15 miles ahead of the stream and goes back. monday, the day is 131 miles ahead of the stream. if the distance between the starting point and the starting point was 660 miles, at what time was the distance between the starting point and the end of the year?']","(0.62, 2.0)"
270,"in covering a distance of 54 km , abhay takes 2 hours more than sameer . if abhay doubles his speed , then he would take 1 hour less than sameer . abhay ' s speed is :","""let abhay ' s speed be x km / hr . then , 54 / x - 54 / 2 x = 3 6 x = 54 x = 9 km / hr . answer : option e""","a ) 5 kmph , b ) 6 kmph , c ) 6.25 kmph , d ) 7.5 kmph , e ) 9 kmph",e,"divide(subtract(54, divide(54, 2)), add(1, 2))","add(n1,n2)|divide(n0,n1)|subtract(n0,#1)|divide(#2,#0)|",physics,"Category: physics # let abhay ' s speed be x km / hr . then , 54 / x - 54 / 2 x = 3 6 x = 54 x = 9 km / hr . answer : option e # ","Category: physics # let abhay ' s speed be x km / hr . then , 54 / x - 54 / 2 x = 3 6 x = 54 x = 9 km / hr . answer : option e # in covering a distance of 54 km , abhay takes 2 hours more than sameer . if abhay doubles his speed , then he would take 1 hour less than sameer . abhay ' s speed is :",category physics let abhay speed x km hr 54 x 54 2 x 3 6 x 54 x 9 km hr answer option e covering distance 54 km abhay takes 2 hours sameer abhay doubles speed would take 1 hour less sameer abhay speed,0,"[""Category: physics # let abhay's speed be x km / hr. then, 54 / x - 54 / 2 x = 3 6 x = 54 x = 9 km / hr. answer : option e # ƫ can set a in 2 hours and distance with an altitude of 54 kms is the same route at speeds of 45 kmph and 54 kmph. what is the distance between ahiya and kiwy?""]","(0.41, 4.0)"
271,the length of minute hand of a clock is 5.6 cm . what is the area covered by this in 10 minutes,area of circle is pi * r ^ 2 but in 10 minutes area covered is ( 10 / 60 ) * 360 = 60 degree so formula is pi * r ^ 2 * ( angle / 360 ) = 3.14 * ( 5.6 ^ 2 ) * ( 60 / 360 ) = 16.41 cm ^ 2 answer : d,"a ) 15.27 , b ) 16.27 , c ) 17.27 , d ) 16.41 , e ) 19.27",d,"multiply(divide(add(multiply(const_2, const_10), const_2), add(const_3, const_4)), multiply(multiply(5.6, 5.6), divide(multiply(const_1, const_60), multiply(const_100, const_3_6))))","add(const_3,const_4)|multiply(const_10,const_2)|multiply(const_1,const_60)|multiply(const_100,const_3_6)|multiply(n0,n0)|add(#1,const_2)|divide(#2,#3)|divide(#5,#0)|multiply(#6,#4)|multiply(#7,#8)",physics,Category: physics # area of circle is pi * r ^ 2 but in 10 minutes area covered is ( 10 / 60 ) * 360 = 60 degree so formula is pi * r ^ 2 * ( angle / 360 ) = 3.14 * ( 5.6 ^ 2 ) * ( 60 / 360 ) = 16.41 cm ^ 2 answer : d # ,Category: physics # area of circle is pi * r ^ 2 but in 10 minutes area covered is ( 10 / 60 ) * 360 = 60 degree so formula is pi * r ^ 2 * ( angle / 360 ) = 3.14 * ( 5.6 ^ 2 ) * ( 60 / 360 ) = 16.41 cm ^ 2 answer : d # the length of minute hand of a clock is 5.6 cm . what is the area covered by this in 10 minutes,category physics area circle pi r 2 10 minutes area covered 10 60 360 60 degree formula pi r 2 angle 360 314 56 2 60 360 1641 cm 2 answer length minute hand clock 56 cm area covered 10 minutes,4,"['Category: physics # area of circle is pi * r ^ 2 but in 10 minutes area covered is ( 10 / 60 ) * 360 = 60 degree so formula is pi * r ^ 2 * ( angle / 360 ) = 3.14 * ( 5.6 ^ 2 ) * ( 60 / 360 ) = 16.41 cm ^ 2 answer : d # ƒ › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › › 1 / 22 * 22 / 7 = 180 cm ² answer : a # circle l makes up 80 percent larger circle x and makes up 45 percent larger circle y. what is the circumference, diameter r, from circle l ’ s diameter?']","(0.71, 8.0)"
273,"a train 1000 m long is running at a speed of 78 km / hr . if it crosses a tunnel in 1 min , then the length of the tunnel is ?","""speed = 78 * 5 / 18 = 65 / 3 m / sec . time = 1 min = 60 sec . let the length of the train be x meters . then , ( 1000 + x ) / 60 = 65 / 3 x = 300 m . answer : c""","a ) 288 m , b ) 256 m , c ) 1000 m , d ) 278 m , e ) 287 m",c,"divide(1000, multiply(subtract(78, 1), const_0_2778))","subtract(n1,n2)|multiply(#0,const_0_2778)|divide(n0,#1)|",physics,"Category: physics # speed = 78 * 5 / 18 = 65 / 3 m / sec . time = 1 min = 60 sec . let the length of the train be x meters . then , ( 1000 + x ) / 60 = 65 / 3 x = 300 m . answer : c # ","Category: physics # speed = 78 * 5 / 18 = 65 / 3 m / sec . time = 1 min = 60 sec . let the length of the train be x meters . then , ( 1000 + x ) / 60 = 65 / 3 x = 300 m . answer : c # a train 1000 m long is running at a speed of 78 km / hr . if it crosses a tunnel in 1 min , then the length of the tunnel is ?",category physics speed 78 5 18 65 3 sec time 1 min 60 sec let length train x meters 1000 x 60 65 3 x 300 answer c train 1000 long running speed 78 km hr crosses tunnel 1 min length tunnel,1,"['Category: physics # speed = 78 * 5 / 18 = 65 / 3 m / sec. time = 1 min = 60 sec. let the length of the train be x meters. then, ( 1000 + x ) / 60 = 65 / 3 x = 300 m. answer : c # т crosses a telegraph post in 60 seconds and a crossing in 15 seconds. what is the length of the train?']","(0.56, 3.0)"
276,a cistern 10 meters long and 4 meters wide contains water up to a depth of 1 meter 25 cm . what is the total area of the wet surface ?,area of the wet surface = [ 2 ( lb + bh + lh ) - lb ] = 2 ( bh + lh ) + lb = [ 2 ( 4 x 1.25 + 10 x 1.25 ) + 10 x 4 ] = 75 the answer is d .,"a ) 45 , b ) 55 , c ) 65 , d ) 75 , e ) 85",d,"add(add(multiply(10, 4), multiply(const_2, multiply(4, add(1, divide(25, const_100))))), multiply(const_2, multiply(10, add(1, divide(25, const_100)))))","divide(n3,const_100)|multiply(n0,n1)|add(n2,#0)|multiply(n1,#2)|multiply(n0,#2)|multiply(#3,const_2)|multiply(#4,const_2)|add(#1,#5)|add(#7,#6)",physics,Category: physics # area of the wet surface = [ 2 ( lb + bh + lh ) - lb ] = 2 ( bh + lh ) + lb = [ 2 ( 4 x 1.25 + 10 x 1.25 ) + 10 x 4 ] = 75 the answer is d . # ,Category: physics # area of the wet surface = [ 2 ( lb + bh + lh ) - lb ] = 2 ( bh + lh ) + lb = [ 2 ( 4 x 1.25 + 10 x 1.25 ) + 10 x 4 ] = 75 the answer is d . # a cistern 10 meters long and 4 meters wide contains water up to a depth of 1 meter 25 cm . what is the total area of the wet surface ?,category physics area wet surface 2 lb bh lh lb 2 bh lh lb 2 4 x 125 10 x 125 10 x 4 75 answer cistern 10 meters long 4 meters wide contains water depth 1 meter 25 cm total area wet surface,5,"['Category: physics # area of the wet surface = [ 2 ( lb + bh + lh ) - lb ] = 2 ( bh + lh ) + lb = [ 2 ( 4 x 1.25 + 10 x 1.25 ) + 10 x 4 ] = 75 the answer is d. # ʵ s wet surface speed of water current is 2 km / hr and lbh has taken 12 hours each time, what is the distance between them?']","(0.61, 4.0)"
279,"how many seconds does sandy take to cover a distance of 600 meters , if sandy runs at a speed of 18 km / hr ?",18 km / hr = 18000 m / 3600 s = 5 m / s time = 600 / 5 = 120 seconds the answer is b .,"a ) 100 , b ) 120 , c ) 140 , d ) 160 , e ) 180",b,"divide(600, multiply(18, const_0_2778))","multiply(n1,const_0_2778)|divide(n0,#0)",physics,Category: physics # 18 km / hr = 18000 m / 3600 s = 5 m / s time = 600 / 5 = 120 seconds the answer is b . # ,"Category: physics # 18 km / hr = 18000 m / 3600 s = 5 m / s time = 600 / 5 = 120 seconds the answer is b . # how many seconds does sandy take to cover a distance of 600 meters , if sandy runs at a speed of 18 km / hr ?",category physics 18 km hr 18000 3600 5 time 600 5 120 seconds answer b many seconds sandy take cover distance 600 meters sandy runs speed 18 km hr,0,"['Category: physics # 18 km / hr = 18000 m / 3600 s = 5 m / s time = 600 / 5 = 120 seconds the answer is b. # т in a kilometer takes 6 seconds longer to cover a kilometer than he travels at 18 kmph, but takes 10 seconds less to travel 1 kilometer than he travels at 20 kmph. how long will they take to cover a kilometer at 60 kmph?']","(0.61, 5.0)"
280,"calculate how many days it will take for 10 boys to paint a 80 m long wall if 6 boys can paint a 70 m long wall in 8 days ,","""the length of wall painted by one boy in one day = 70 / 6 * 1 / 8 = 1.46 m no . of days required to paint 50 m cloth by 8 boys = 80 / 10 * 1 / 1.46 = 5.48 days . d""","a ) 9.48 days , b ) 3.48 days , c ) 7.48 days , d ) 5.48 days , e ) 6.48 days",d,"divide(multiply(multiply(6, 8), 80), multiply(70, 10))","multiply(n2,n4)|multiply(n0,n3)|multiply(n1,#0)|divide(#2,#1)|",physics,Category: physics # the length of wall painted by one boy in one day = 70 / 6 * 1 / 8 = 1.46 m no . of days required to paint 50 m cloth by 8 boys = 80 / 10 * 1 / 1.46 = 5.48 days . d # ,"Category: physics # the length of wall painted by one boy in one day = 70 / 6 * 1 / 8 = 1.46 m no . of days required to paint 50 m cloth by 8 boys = 80 / 10 * 1 / 1.46 = 5.48 days . d # calculate how many days it will take for 10 boys to paint a 80 m long wall if 6 boys can paint a 70 m long wall in 8 days ,",category physics length wall painted one boy one day 70 6 1 8 146 days required paint 50 cloth 8 boys 80 10 1 146 548 days calculate many days take 10 boys paint 80 long wall 6 boys paint 70 long wall 8 days,2,"['Category: physics # the length of wall painted by one boy in one day = 70 / 6 * 1 / 8 = 1.46 m no. of days required to paint 50 m cloth by 8 boys = 80 / 10 * 1 / 1.46 = 5.48 days. d # т can color 40 meters long cloth in 7 days, but he takes 8 days to paint 50 meters long cloth. how many days will it take 40 days to color 50 meters long cloth?']","(0.69, 6.0)"
282,a monkey start climbing up a tree 18 ft tall . each hour it hops 3 ft and slips back 2 ft . how much time would it take the monkey to reach the top .,"""if monkey hops 3 ft and slips back 2 ft in a hour , it means the monkey hops ( 3 ft - 2 ft ) = 1 ft / hr . similarly in 15 hrs it wil be 15 ft . bt since the height of the tree is 18 ft , so if the monkey hops up the tree in the next hr i . e 16 th hr then it reaches at the top of the tree . hence it takes 16 hrs for monkey to reach at the top answer : e""","a ) 15 hrs , b ) 18 hrs , c ) 19 hrs , d ) 17 hrs , e ) 16 hrs",e,"subtract(divide(18, subtract(3, 2)), 2)","subtract(n1,n2)|divide(n0,#0)|subtract(#1,n2)|",physics,"Category: physics # if monkey hops 3 ft and slips back 2 ft in a hour , it means the monkey hops ( 3 ft - 2 ft ) = 1 ft / hr . similarly in 15 hrs it wil be 15 ft . bt since the height of the tree is 18 ft , so if the monkey hops up the tree in the next hr i . e 16 th hr then it reaches at the top of the tree . hence it takes 16 hrs for monkey to reach at the top answer : e # ","Category: physics # if monkey hops 3 ft and slips back 2 ft in a hour , it means the monkey hops ( 3 ft - 2 ft ) = 1 ft / hr . similarly in 15 hrs it wil be 15 ft . bt since the height of the tree is 18 ft , so if the monkey hops up the tree in the next hr i . e 16 th hr then it reaches at the top of the tree . hence it takes 16 hrs for monkey to reach at the top answer : e # a monkey start climbing up a tree 18 ft tall . each hour it hops 3 ft and slips back 2 ft . how much time would it take the monkey to reach the top .",category physics monkey hops 3 ft slips back 2 ft hour means monkey hops 3 ft 2 ft 1 ft hr similarly 15 hrs wil 15 ft bt since height tree 18 ft monkey hops tree next hr e 16 th hr reaches top tree hence takes 16 hrs monkey reach top answer e monkey start climbing tree 18 ft tall hour hops 3 ft slips back 2 ft much time would take monkey reach top,0,"['Category: physics # if monkey hops 3 ft and slips back 2 ft in a hour, it means the monkey hops ( 3 ft - 2 ft ) = 1 ft / hr. similarly in 15 hrs it wil be 15 ft. bt since the height of the tree is 18 ft, so if the monkey hops up the tree in the next hr i. e 16 th hr then it reaches at the top of the tree. hence it takes 16 hrs for monkey to reach at the top answer : e # ƒ › › 5 feet of a tree, leaving a reminder of 4. if she works at a constant rate, she spends 4 ft of a greased desk on her desk, and she spends 6 f – 2 foot on her bike, leaving a reminder of 2 f – 2 foot on her bike, and walking 4 f – 1 foot on her bike, she spends 1 f – 2 foot on her bike, leaving 1 f – 1 foot on her bike, and walking 1 f – 1 foot on her bike. on her way to reach the bottom, she is spending all her way by spending all she spent on her cell phone bill. how many minutes does she spend on her cell phone bill?']","(0.72, 14.0)"
283,"jane and ashley take 8 days and 40 days respectively to complete a project when they work on it alone . they thought if they worked on the project together , they would take fewer days to complete it . during the period that they were working together , jane took an eight day leave from work . this led to jane ' s working for four extra days on her own to complete the project . how long did it take to finish the project ?","""let us assume that the work is laying 40 bricks . jane = 5 bricks per day ashley = 1 brick per day together = 6 bricks per day let ' s say first 8 days ashley works alone , no of bricks = 8 last 4 days jane works alone , no . of bricks = 20 remaining bricks = 40 - 28 = 12 so together , they would take 12 / 6 = 2 total no . of days = 8 + 4 + 2 = 14 answer is a""","a ) 14 days , b ) 15 days , c ) 16 days , d ) 18 days , e ) 20 days",a,"add(add(divide(subtract(subtract(const_1, multiply(const_4, divide(const_1, 8))), multiply(add(const_4, const_4), divide(const_1, 40))), add(divide(const_1, 8), divide(const_1, 40))), add(const_4, const_4)), const_4)","add(const_4,const_4)|divide(const_1,n0)|divide(const_1,n1)|add(#1,#2)|multiply(#1,const_4)|multiply(#0,#2)|subtract(const_1,#4)|subtract(#6,#5)|divide(#7,#3)|add(#0,#8)|add(#9,const_4)|",physics,"Category: physics # let us assume that the work is laying 40 bricks . jane = 5 bricks per day ashley = 1 brick per day together = 6 bricks per day let ' s say first 8 days ashley works alone , no of bricks = 8 last 4 days jane works alone , no . of bricks = 20 remaining bricks = 40 - 28 = 12 so together , they would take 12 / 6 = 2 total no . of days = 8 + 4 + 2 = 14 answer is a # ","Category: physics # let us assume that the work is laying 40 bricks . jane = 5 bricks per day ashley = 1 brick per day together = 6 bricks per day let ' s say first 8 days ashley works alone , no of bricks = 8 last 4 days jane works alone , no . of bricks = 20 remaining bricks = 40 - 28 = 12 so together , they would take 12 / 6 = 2 total no . of days = 8 + 4 + 2 = 14 answer is a # jane and ashley take 8 days and 40 days respectively to complete a project when they work on it alone . they thought if they worked on the project together , they would take fewer days to complete it . during the period that they were working together , jane took an eight day leave from work . this led to jane ' s working for four extra days on her own to complete the project . how long did it take to finish the project ?",category physics let us assume work laying 40 bricks jane 5 bricks per day ashley 1 brick per day together 6 bricks per day let say first 8 days ashley works alone bricks 8 last 4 days jane works alone bricks 20 remaining bricks 40 28 12 together would take 12 6 2 total days 8 4 2 14 answer jane ashley take 8 days 40 days respectively complete project work alone thought worked project together would take fewer days complete period working together jane took eight day leave work led jane working four extra days complete project long take finish project,2,"[""Category: physics # let us assume that the work is laying 40 bricks. jane = 5 bricks per day ashley = 1 brick per day together = 6 bricks per day let's say first 8 days ashley works alone, no of bricks = 8 last 4 days jane works alone, no. of bricks = 20 remaining bricks = 40 - 28 = 12 so together, they would take 12 / 6 = 2 total no. of days = 8 + 4 + 2 = 14 answer is a # ʼ of the job is done so she works 10 days, leaving 4 days. if she works at this point, she will take 4 more days. if she works at this point, she will take 4 more days to do the job. what fraction of the job is she worth?""]","(0.66, 4.0)"
286,a bullet train 150 m long is running with a speed of 30 kmph . in what time will it pass a man who is running at 6 kmph in the direction opposite to that in which the bullet train is going ?,e 15 sec speed of the bullet train relative to man = ( 30 + 6 ) kmph = 36 * 5 / 18 m / sec = 30 / 3 m / sec . time taken by the bullet train to cross the man = time taken by it to cover 150 m at ( 30 / 3 ) m / sec = ( 150 * 3 / 30 ) sec = 15 sec,"a ) 23 sec , b ) 15 sec , c ) 12 sec , d ) 11 sec , e ) 15 sec",e,"divide(150, divide(multiply(add(30, 6), const_1000), const_3600))","add(n1,n2)|multiply(#0,const_1000)|divide(#1,const_3600)|divide(n0,#2)",physics,Category: physics # e 15 sec speed of the bullet train relative to man = ( 30 + 6 ) kmph = 36 * 5 / 18 m / sec = 30 / 3 m / sec . time taken by the bullet train to cross the man = time taken by it to cover 150 m at ( 30 / 3 ) m / sec = ( 150 * 3 / 30 ) sec = 15 sec # ,Category: physics # e 15 sec speed of the bullet train relative to man = ( 30 + 6 ) kmph = 36 * 5 / 18 m / sec = 30 / 3 m / sec . time taken by the bullet train to cross the man = time taken by it to cover 150 m at ( 30 / 3 ) m / sec = ( 150 * 3 / 30 ) sec = 15 sec # a bullet train 150 m long is running with a speed of 30 kmph . in what time will it pass a man who is running at 6 kmph in the direction opposite to that in which the bullet train is going ?,category physics e 15 sec speed bullet train relative man 30 6 kmph 36 5 18 sec 30 3 sec time taken bullet train cross man time taken cover 150 30 3 sec 150 3 30 sec 15 sec bullet train 150 long running speed 30 kmph time pass man running 6 kmph direction opposite bullet train going,1,['Category: physics # e 15 sec speed of the bullet train relative to man = ( 30 + 6 ) kmph = 36 * 5 / 18 m / sec = 30 / 3 m / sec. time taken by the bullet train to cross the man = time taken by it to cover 150 m at ( 30 / 3 ) m / sec = ( 150 * 3 / 30 ) sec = 15 sec # ƫ ng in a speed of 3 kmph at the speed of 30 kmph. on how much time will they take to pass each other?'],"(0.83, 2.0)"
290,a worker ' s daily wage is increased by 50 % and the new wage is $ 30 per day . what was the worker ' s daily wage before the increase ?,let x be the daily wage before the increase . 1.5 x = $ 30 x = $ 20 the answer is c .,"a ) $ 15 , b ) $ 18 , c ) $ 20 , d ) $ 22 , e ) $ 25",c,"divide(30, add(const_1, divide(50, const_100)))","divide(n0,const_100)|add(#0,const_1)|divide(n1,#1)",physics,Category: physics # let x be the daily wage before the increase . 1.5 x = $ 30 x = $ 20 the answer is c . # ,Category: physics # let x be the daily wage before the increase . 1.5 x = $ 30 x = $ 20 the answer is c . # a worker ' s daily wage is increased by 50 % and the new wage is $ 30 per day . what was the worker ' s daily wage before the increase ?,category physics let x daily wage increase 15 x 30 x 20 answer c worker daily wage increased 50 new wage 30 per day worker daily wage increase,2,"['Category: physics # let x be the daily wage before the increase. 1.5 x = $ 30 x = $ 20 the answer is c. # т works in the new food and has a new food for exactly 2 days. she spends $ 30 per day on the first day on her dinner and spends $ 20 per day on the second day on her dinner. if last week the employee earned $ 2340, how much did she spend on her dinner?']","(0.48, 2.0)"
292,if the weight of 12 meters long rod is 13.4 kg . what is the weight of 6 meters long rod ?,"""answer ∵ weight of 12 m long rod = 13.4 kg ∴ weight of 1 m long rod = 13.4 / 12 kg ∴ weight of 6 m long rod = 13.4 x 6 / 12 = 6.7 kg option : a""","a ) 6.7 kg . , b ) 10.8 kg . , c ) 12.4 kg . , d ) 18.0 kg , e ) none",a,"divide(multiply(6, 13.4), 12)","multiply(n1,n2)|divide(#0,n0)|",physics,Category: physics # answer ∵ weight of 12 m long rod = 13.4 kg ∴ weight of 1 m long rod = 13.4 / 12 kg ∴ weight of 6 m long rod = 13.4 x 6 / 12 = 6.7 kg option : a # ,Category: physics # answer ∵ weight of 12 m long rod = 13.4 kg ∴ weight of 1 m long rod = 13.4 / 12 kg ∴ weight of 6 m long rod = 13.4 x 6 / 12 = 6.7 kg option : a # if the weight of 12 meters long rod is 13.4 kg . what is the weight of 6 meters long rod ?,category physics answer weight 12 long rod 134 kg weight 1 long rod 134 12 kg weight 6 long rod 134 x 6 12 67 kg option weight 12 meters long rod 134 kg weight 6 meters long rod,4,['Category: physics # answer ∵ weight of 12 m long rod = 13.4 kg ∴ weight of 1 m long rod = 13.4 / 12 kg ∴ weight of 6 m long rod = 13.4 x 6 / 12 = 6.7 kg option : a # ƫ weights of 12 meters long rod is 13.4 kg. due to high winds this year 15.4 kg will be negligible. what is the weight of 6 meters long rod?'],"(0.66, 0.0)"
303,"john and steve are speed walkers in a race . john is 10 meters behind steve when he begins his final push . john blazes to the finish at a pace of 4.2 m / s , while steve maintains a blistering 3.7 m / s speed . if john finishes the race 2 meters ahead of steve , how long was john ’ s final push ?","""let t be the time that john spent for his final push . thus , per the question , 4.2 t = 3.7 t + 10 + 2 - - - > 0.5 t = 12 - - - > t = 24 seconds . c is the correct answer .""","a ) 13 seconds , b ) 17 seconds , c ) 24 seconds , d ) 34 seconds , e ) 51 seconds",c,"divide(add(divide(multiply(3.7, add(10, 2)), subtract(4.2, 3.7)), add(10, 2)), 4.2)","add(n0,n3)|subtract(n1,n2)|multiply(n2,#0)|divide(#2,#1)|add(#0,#3)|divide(#4,n1)|",physics,"Category: physics # let t be the time that john spent for his final push . thus , per the question , 4.2 t = 3.7 t + 10 + 2 - - - > 0.5 t = 12 - - - > t = 24 seconds . c is the correct answer . # ","Category: physics # let t be the time that john spent for his final push . thus , per the question , 4.2 t = 3.7 t + 10 + 2 - - - > 0.5 t = 12 - - - > t = 24 seconds . c is the correct answer . # john and steve are speed walkers in a race . john is 10 meters behind steve when he begins his final push . john blazes to the finish at a pace of 4.2 m / s , while steve maintains a blistering 3.7 m / s speed . if john finishes the race 2 meters ahead of steve , how long was john ’ s final push ?",category physics let time john spent final push thus per question 42 37 10 2 05 12 24 seconds c correct answer john steve speed walkers race john 10 meters behind steve begins final push john blazes finish pace 42 steve maintains blistering 37 speed john finishes race 2 meters ahead steve long john final push,0,"['Category: physics # let t be the time that john spent for his final push. thus, per the question, 4.2 t = 3.7 t + 10 + 2 - - - > 0.5 t = 12 - - - > t = 24 seconds. c is the correct answer. # т spends 30 seconds on a skateboard and 20 seconds on a cycle. if the first half spent 15 seconds on the skateboard, how many seconds did he spend on the ride?']","(0.59, 3.0)"
307,sum of two numbers prime to each other is 12 and their l . c . m . is 35 . what are the numbers ?,"""as two numbers are prime , only options satisfy ie option b and c and d , e but option a will not make the product of numbers i . e 35 answer : b""","a ) 8 and 4 , b ) 7 and 5 , c ) 6 and 5 , d ) 8 and 5 , e ) 6 and 5",b,"add(35, 12)","add(n0,n1)|",physics,"Category: physics # as two numbers are prime , only options satisfy ie option b and c and d , e but option a will not make the product of numbers i . e 35 answer : b # ","Category: physics # as two numbers are prime , only options satisfy ie option b and c and d , e but option a will not make the product of numbers i . e 35 answer : b # sum of two numbers prime to each other is 12 and their l . c . m . is 35 . what are the numbers ?",category physics two numbers prime options satisfy ie option b c e option make product numbers e 35 answer b sum two numbers prime 12 l c 35 numbers,4,"['Category: physics # as two numbers are prime, only options satisfy ie option b and c and d, e but option a will not make the product of numbers i. e 35 answer : b # ƫ ng these three numbers, one at a time from the other and the other at a time from the other two. if the three numbers are both prime, then the difference between its two expression is?']","(0.63, 2.0)"
