,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Problem,Rationale,options,correct,annotated_formula,linear_formula,category,prompt,text,clean,cluster,gpt_generated,gpt_score,s_gptscore,n_gptscore,generated,score,s_score,n_score,generated_clean,loss,labels
25,25,164,690,"jack and jill work at a hospital with 4 other workers . for an internal review , 2 of the 6 workers will be randomly chosen to be interviewed . what is the probability that jack and jill will both be chosen ?","""total number of ways to choose 2 out of 6 workers = 6 ! / 2 ! 4 ! = 15 number of ways to choose both jack and jill = 1 probability = 1 / 15 c should be the answer""","a ) 1 / 3 , b ) 1 / 4 , c ) 1 / 15 , d ) 3 / 8 , e ) 2 / 3",c,"inverse(divide(factorial(6), multiply(factorial(2), factorial(4))))","factorial(n2)|factorial(n1)|factorial(n0)|multiply(#1,#2)|divide(#0,#3)|inverse(#4)|",physics,Category: physics # total number of ways to choose 2 out of 6 workers = 6 ! / 2 ! 4 ! = 15 number of ways to choose both jack and jill = 1 probability = 1 / 15 c should be the answer # ,"Category: physics # total number of ways to choose 2 out of 6 workers = 6 ! / 2 ! 4 ! = 15 number of ways to choose both jack and jill = 1 probability = 1 / 15 c should be the answer # jack and jill work at a hospital with 4 other workers . for an internal review , 2 of the 6 workers will be randomly chosen to be interviewed . what is the probability that jack and jill will both be chosen ?",category physics total number ways choose 2 6 workers 6 2 4 15 number ways choose jack jill 1 probability 1 15 c answer jack jill work hospital 4 workers internal review 2 6 workers randomly chosen interviewed probability jack jill chosen,4,"['Category: physics # total number of ways to choose 2 out of 6 workers = 6! / 2! 4! = 15 number of ways to choose both jack and jill = 1 probability = 1 / 15 c should be the answer # ƫ ng the same place and they were working for money each. there would be fifteen workers, each of them must be chosen at random. what is the probability that all the other workers will be chosen?']","(0.51, 9.0)",0.51,9.0,"['Category: physics # total number of ways to choose 2 out of 6 workers = 6! / 2! 4! = 15 number of ways to choose both jack and jill = 1 probability = 1 / 15 c should be the answer # ____________________________________________________________ total number of ways = 15 + 21... = 304 such numbers. answer : e. # how many 8 digit numbers are there, if it is known that the first digit is even, the second is odd, the third is prime, the fourth ( units digit ) is divisible by 7, and the digit 2 can be used only once?']","(0.49, 9.0)",0.49,9.0,category physic total number way choose 2 6 worker 6 2 4 15 number way choose jack jill 1 probability 1 15 c answer ____________________________________________________________ total number way 15 21 304 number answer e many 8 digit number known first digit even second odd third prime fourth unit digit divisible 7 digit 2 used,0.14526170163707633,0.14526170163707633
26,26,169,719,"the ratio between the length and the breadth of a rectangular park is 3 : 4 . if a man cycling along the boundary of the park at the speed of 15 km / hr completes one round in 10 min , then the area of the park ( in sq . m ) is ?","""perimeter = distance covered in 10 min . = ( 15000 x 8 ) / 60 m = 2000 m . let length = 3 x metres and breadth = 4 x metres . then , 2 ( 3 x + 4 x ) = 2000 or x = 142.86 . length = 428.58 m and breadth = 571.44 m . area = ( 428.58 x 571.44 ) m 2 = 244907.76 m a""","a ) 244907.04 m , b ) 244000 m , c ) 244900 m , d ) 400000 m , e ) 154300 m",a,"rectangle_area(divide(divide(multiply(multiply(divide(15, multiply(const_10, multiply(const_3, const_2))), 10), const_1000), add(3, 4)), const_2), multiply(divide(divide(multiply(multiply(divide(15, multiply(const_10, multiply(const_3, const_2))), 10), const_1000), add(3, 4)), const_2), 4))","add(n0,n1)|multiply(const_2,const_3)|multiply(#1,const_10)|divide(n2,#2)|multiply(n3,#3)|multiply(#4,const_1000)|divide(#5,#0)|divide(#6,const_2)|multiply(n1,#7)|rectangle_area(#7,#8)|",physics,"Category: physics # perimeter = distance covered in 10 min . = ( 15000 x 8 ) / 60 m = 2000 m . let length = 3 x metres and breadth = 4 x metres . then , 2 ( 3 x + 4 x ) = 2000 or x = 142.86 . length = 428.58 m and breadth = 571.44 m . area = ( 428.58 x 571.44 ) m 2 = 244907.76 m a # ","Category: physics # perimeter = distance covered in 10 min . = ( 15000 x 8 ) / 60 m = 2000 m . let length = 3 x metres and breadth = 4 x metres . then , 2 ( 3 x + 4 x ) = 2000 or x = 142.86 . length = 428.58 m and breadth = 571.44 m . area = ( 428.58 x 571.44 ) m 2 = 244907.76 m a # the ratio between the length and the breadth of a rectangular park is 3 : 4 . if a man cycling along the boundary of the park at the speed of 15 km / hr completes one round in 10 min , then the area of the park ( in sq . m ) is ?",category physics perimeter distance covered 10 min 15000 x 8 60 2000 let length 3 x metres breadth 4 x metres 2 3 x 4 x 2000 x 14286 length 42858 breadth 57144 area 42858 x 57144 2 24490776 ratio length breadth rectangular park 3 4 man cycling along boundary park speed 15 km hr completes one round 10 min area park sq,4,"['Category: physics # perimeter = distance covered in 10 min. = ( 15000 x 8 ) / 60 m = 2000 m. let length = 3 x metres and breadth = 4 x metres. then, 2 ( 3 x + 4 x ) = 2000 or x = 142.86. length = 428.58 m and breadth = 571.44 m. area = ( 428.58 x 571.44 ) m 2 = 244907.76 m a # ƒ œ alone can house the same area. if heh the side of the house was 2000 metres long, then what is the length of the door?']","(0.71, 4.0)",0.71,4.0,"['Category: physics # perimeter = distance covered in 10 min. = ( 15000 x 8 ) / 60 m = 2000 m. let length = 3 x metres and breadth = 4 x metres. then, 2 ( 3 x + 4 x ) = 2000 or x = 142.86. length = 428.58 m and breadth = 571.44 m. area = ( 428.58 x 571.44 ) m 2 = 244907.76 m a # ernakulam a wooden box of dimensions 15 m * 4 m is to carry rectangularboxes of dimensions 4 cm x 5 cm x 8 cm x 10 cm. the maximum number ofboxes that can be carried in the wooden box, is']","(0.6, 5.0)",0.6,5.0,category physic perimeter distance covered 10 min 15000 x 8 60 2000 let length 3 x metre breadth 4 x metre 2 3 x 4 x 2000 x 14286 length 42858 breadth 57144 area 42858 x 57144 2 24490776 ernakulam wooden box dimension 15 4 carry rectangularboxes dimension 4 cm x 5 cm x 8 cm x 10 cm maximum number ofboxes carried wooden box,0.12796864191837676,0.12796864191837676
27,27,181,780,the length of a room is 5.5 m and width is 3.75 m . what is the cost of paying the floor by slabs at the rate of $ 500 per sq . metre .,"""area = 5.5 × 3.75 sq . metre . cost for 1 sq . metre . = $ 500 hence , total cost = 5.5 × 3.75 × 500 = $ 10312.50 a""","a ) $ 10312.50 , b ) $ 13512.50 , c ) $ 16512.50 , d ) $ 14512.50 , e ) $ 18512.50",a,"multiply(500, multiply(5.5, 3.75))","multiply(n0,n1)|multiply(n2,#0)|",physics,"Category: physics # area = 5.5 × 3.75 sq . metre . cost for 1 sq . metre . = $ 500 hence , total cost = 5.5 × 3.75 × 500 = $ 10312.50 a # ","Category: physics # area = 5.5 × 3.75 sq . metre . cost for 1 sq . metre . = $ 500 hence , total cost = 5.5 × 3.75 × 500 = $ 10312.50 a # the length of a room is 5.5 m and width is 3.75 m . what is the cost of paying the floor by slabs at the rate of $ 500 per sq . metre .",category physics area 55 375 sq metre cost 1 sq metre 500 hence total cost 55 375 500 1031250 length room 55 width 375 cost paying floor slabs rate 500 per sq metre,4,"['Category: physics # area = 5.5 × 3.75 sq. metre. cost for 1 sq. metre. = $ 500 hence, total cost = 5.5 × 3.75 × 500 = $ 10312.50 a # т leaves city p at the rate of rs. 3.75 per sq. metre and travels westward at the rate of rs. 4.75 per sq. metre. what is the total cost, of the trip in km?']","(0.42, 1.0)",0.42,1.0,"['Category: physics # area = 5.5 × 3.75 sq. metre. cost for 1 sq. metre. = $ 500 hence, total cost = 5.5 × 3.75 × 500 = $ 10312.50 a # ____________________________________________________________ $ 550 certificates. the length of a room is 5.5 m and width is 3.75 m. what is the cost of paying the floor by slabs at the rate of $ 400 per sq. metre.']","(0.68, 2.0)",0.68,2.0,category physic area 55 375 sq metre cost 1 sq metre 500 hence total cost 55 375 500 1031250 ____________________________________________________________ 550 certificate length room 55 width 375 cost paying floor slab rate 400 per sq metre,0.1106755821996772,0.1106755821996772
28,28,191,808,the radius of a wheel is 22.4 cm . what is the distance covered by the wheel in making 600 resolutions .,"""in one resolution , the distance covered by the wheel is its own circumference . distance covered in 600 resolutions . = 600 * 2 * 22 / 7 * 22.4 = 84403 cm = 844.03 m answer : b""","a ) 843.03 m , b ) 844.03 m , c ) 845.03 m , d ) 846.03 m , e ) 847.03 m",b,"divide(multiply(multiply(multiply(divide(add(multiply(add(const_3, const_4), const_3), const_1), add(const_3, const_4)), 22.4), const_2), 600), const_100)","add(const_3,const_4)|multiply(#0,const_3)|add(#1,const_1)|divide(#2,#0)|multiply(n0,#3)|multiply(#4,const_2)|multiply(n1,#5)|divide(#6,const_100)|",physics,"Category: physics # in one resolution , the distance covered by the wheel is its own circumference . distance covered in 600 resolutions . = 600 * 2 * 22 / 7 * 22.4 = 84403 cm = 844.03 m answer : b # ","Category: physics # in one resolution , the distance covered by the wheel is its own circumference . distance covered in 600 resolutions . = 600 * 2 * 22 / 7 * 22.4 = 84403 cm = 844.03 m answer : b # the radius of a wheel is 22.4 cm . what is the distance covered by the wheel in making 600 resolutions .",category physics one resolution distance covered wheel circumference distance covered 600 resolutions 600 2 22 7 224 84403 cm 84403 answer b radius wheel 224 cm distance covered wheel making 600 resolutions,4,"['Category: physics # in one resolution, the distance covered by the wheel is its own circumference. distance covered in 600 resolutions. = 600 * 2 * 22 / 7 * 22.4 = 84403 cm = 844.03 m answer : b # ƫ ng a wheel is 22.4 cm then at what distance will he cover in 600 resolutions?']","(0.74, 0.0)",0.74,0.0,"['Category: physics # in one resolution, the distance covered by the wheel is its own circumference. distance covered in 600 resolutions. = 600 * 2 * 22 / 7 * 22.4 = 84403 cm = 844.03 m answer : b # ____ 99696 cm # the radius of a wheel is 22.4 cm. what is the distance covered by the wheel in making 600 resolutions?']","(0.96, 2.0)",0.96,2.0,category physic one resolution distance covered wheel circumference distance covered 600 resolution 600 2 22 7 224 84403 cm 84403 answer b ____ 99696 cm radius wheel 224 cm distance covered wheel making 600 resolution,0.09130735531473369,0.09130735531473369
29,29,193,812,"a 1 k . m . long wire is held by n poles . if one pole is removed , the length of the gap becomes 12 / 3 m . what is the number of poles initially ?",length after removing pole is 12 / 3 = 4 then before removing pole is 2 ( ' coz | 2 | 2 | is | 4 | ) i . e . gap between two poles is 2 m 1 km = 1000 m then split 1000 m by 2 m = > we have 500 sections or gaps then no . of poles is 500 + 1 st pole = 501 poles therefore n = 501 . answer : b,"a ) 500 , b ) 501 , c ) 502 , d ) 503 , e ) 504",b,"subtract(add(add(add(add(multiply(multiply(12, 3), const_12), const_10), multiply(const_10, const_4)), const_10), const_10), 1)","multiply(n1,n2)|multiply(const_10,const_4)|multiply(#0,const_12)|add(#2,const_10)|add(#3,#1)|add(#4,const_10)|add(#5,const_10)|subtract(#6,n0)",physics,Category: physics # length after removing pole is 12 / 3 = 4 then before removing pole is 2 ( ' coz | 2 | 2 | is | 4 | ) i . e . gap between two poles is 2 m 1 km = 1000 m then split 1000 m by 2 m = > we have 500 sections or gaps then no . of poles is 500 + 1 st pole = 501 poles therefore n = 501 . answer : b # ,"Category: physics # length after removing pole is 12 / 3 = 4 then before removing pole is 2 ( ' coz | 2 | 2 | is | 4 | ) i . e . gap between two poles is 2 m 1 km = 1000 m then split 1000 m by 2 m = > we have 500 sections or gaps then no . of poles is 500 + 1 st pole = 501 poles therefore n = 501 . answer : b # a 1 k . m . long wire is held by n poles . if one pole is removed , the length of the gap becomes 12 / 3 m . what is the number of poles initially ?",category physics length removing pole 12 3 4 removing pole 2 coz 2 2 4 e gap two poles 2 1 km 1000 split 1000 2 500 sections gaps poles 500 1 st pole 501 poles therefore n 501 answer b 1 k long wire held n poles one pole removed length gap becomes 12 3 number poles initially,4,"[""Category: physics # length after removing pole is 12 / 3 = 4 then before removing pole is 2 ('coz | 2 | 2 | is | 4 | ) i. e. gap between two poles is 2 m 1 km = 1000 m then split 1000 m by 2 m = > we have 500 sections or gaps then no. of poles is 500 + 1 st pole = 501 poles therefore n = 501. answer : b # т has decided to fill a tank in the ratio of 9 : 5, and she plans to fill the tank in 3 days. she plans to hire 3 of the new tank in one day and she plans to buy 2 more of the original tank. she plans to have a balance for finishing the job and spends $ 500 buying the tank. she plans to have a balance for finishing line but she buys only that is 8 % of the original tank. she buys exactly the additional charge for the first 15 miles of the tank. she spends $ 500 buying the rest on her cell phone and spends the rest on her cell phone. she spends the rest on her cell phone and spends the rest on her cellphone. she spends the rest on her cell phone and spends the rest on her cell phone. she spends $ 250 of the entire video on her cell. she spends the rest on her cell phone and spends the rest on her cell phone. she spends the rest on her cellphone, leaving 1 / 3 on her cell phone and spending the rest on her cellphone. she spends the rest on her cell and spends the rest on her cell. she spends 10 minutes on her cell phone and spends the rest on her cellphone. she spends the rest on her cellphone and spends the rest on her cell. she spends the rest on her cell phone and spends the rest on her cell. she spends : the rest on her cell phone and saves the rest on her cell phone. she spends the rest on her cell phone and spends the rest on her cell phone. she spends the rest on her cell phone and spends the rest on her cellphone. she spends the rest on her cell and spends the rest on her cellphone. she spends the rest on her cell phone and spends the rest on her cell phone. she spends the rest on her cell phone and saves the rest on her cell telephone ; she spends the rest on her cell phone and spends the rest on her cell phone. she spends the rest on her cellphone and spends the rest on her cell phone, leaving the rest on""]","(0.69, 12.0)",0.69,12.0,"[""Category: physics # length after removing pole is 12 / 3 = 4 then before removing pole is 2 ('coz | 2 | 2 | is | 4 | ) i. e. gap between two poles is 2 m 1 km = 1000 m then split 1000 m by 2 m = > we have 500 sections or gaps then no. of poles is 500 + 1 st pole = 501 poles therefore n = 501. answer : b # ____________________________________ 99696 m / 3 * 22 / 7 * 19 * x = 19 answer : c # if the wheel is 19 cm then the number of revolutions to cover a distance of 1540 cm is?""]","(0.67, 8.0)",0.67,8.0,category physic length removing pole 12 3 4 removing pole 2 coz 2 2 4 e gap two pole 2 1 km 1000 split 1000 2 500 section gap pole 500 1 st pole 501 pole therefore n 501 answer b ____________________________________ 99696 3 22 7 19 x 19 answer c wheel 19 cm number revolution cover distance 1540 cm,0.19691030666359233,0.19691030666359233
30,30,194,814,"the angle between the minute hand and the hour hand of a clock when the time is 4.20 , is","""solution angle traced by hour hand in 13 / 3 hrs = ( 360 / 12 x 13 / 3 ) ° = 130 ° angle traced by min . hand in 20 min = ( 360 / 60 x 20 ) ° = 120 ° required angle = ( 130 - 120 ) ° = 10 ° . answer c""","a ) 0 ° , b ) 5 ° , c ) 10 ° , d ) 20 ° , e ) none",c,"divide(multiply(subtract(multiply(divide(multiply(const_3, const_4), subtract(multiply(const_3, const_4), const_1)), multiply(add(const_4, const_1), subtract(multiply(const_3, const_4), const_1))), divide(const_60, const_2)), subtract(multiply(const_3, const_4), const_1)), const_2)","add(const_1,const_4)|divide(const_60,const_2)|multiply(const_3,const_4)|subtract(#2,const_1)|divide(#2,#3)|multiply(#0,#3)|multiply(#4,#5)|subtract(#6,#1)|multiply(#7,#3)|divide(#8,const_2)|",physics,Category: physics # solution angle traced by hour hand in 13 / 3 hrs = ( 360 / 12 x 13 / 3 ) ° = 130 ° angle traced by min . hand in 20 min = ( 360 / 60 x 20 ) ° = 120 ° required angle = ( 130 - 120 ) ° = 10 ° . answer c # ,"Category: physics # solution angle traced by hour hand in 13 / 3 hrs = ( 360 / 12 x 13 / 3 ) ° = 130 ° angle traced by min . hand in 20 min = ( 360 / 60 x 20 ) ° = 120 ° required angle = ( 130 - 120 ) ° = 10 ° . answer c # the angle between the minute hand and the hour hand of a clock when the time is 4.20 , is",category physics solution angle traced hour hand 13 3 hrs 360 12 x 13 3 130 angle traced min hand 20 min 360 60 x 20 120 required angle 130 120 10 answer c angle minute hand hour hand clock time 420,4,"['Category: physics # solution angle traced by hour hand in 13 / 3 hrs = ( 360 / 12 x 13 / 3 ) ° = 130 ° angle traced by min. hand in 20 min = ( 360 / 60 x 20 ) ° = 120 ° required angle = ( 130 - 120 ) ° = 10 °. answer c # ƒ › ° is the angle of a sphere. if the angle between the hour hand and hour hand covers a distance of 360 °, what is the angle between the hour hand and hour hand?']","(0.78, 1.0)",0.78,1.0,"['Category: physics # solution angle traced by hour hand in 13 / 3 hrs = ( 360 / 12 x 13 / 3 ) ° = 130 ° angle traced by min. hand in 20 min = ( 360 / 60 x 20 ) ° = 120 ° required angle = ( 130 - 120 ) ° = 10 °. answer c # ________________________________ the angle = 30 ° ∗ 2 ∗ 2 = 30 ° ∗ 2 ∗ 2 = 1 / 2 × 40 ∗ 2 = 1517 cm = 420 cm correct answer b # the angle between the minute hand and the hour hand of a clock when the time is 8.30, is']","(0.71, 12.0)",0.71,12.0,category physic solution angle traced hour hand 13 3 hr 360 12 x 13 3 130 angle traced min hand 20 min 360 60 x 20 120 required angle 130 120 10 answer c ________________________________ angle 30 2 2 30 2 2 1 2 40 2 1517 cm 420 cm correct answer b angle minute hand hour hand clock time 830,0.3142725386211667,0.3142725386211667
31,31,197,823,find the length of the wire required to go 12 times round a square field containing 104976 m 2 .,"""a 2 = 104976 = > a = 324 4 a = 1296 1296 * 12 = 15552 answer : e""","a ) 15840 , b ) 3388 , c ) 2667 , d ) 8766 , e ) 15552",e,"multiply(square_perimeter(square_edge_by_area(104976)), 12)","square_edge_by_area(n1)|square_perimeter(#0)|multiply(n0,#1)|",physics,Category: physics # a 2 = 104976 = > a = 324 4 a = 1296 1296 * 12 = 15552 answer : e # ,Category: physics # a 2 = 104976 = > a = 324 4 a = 1296 1296 * 12 = 15552 answer : e # find the length of the wire required to go 12 times round a square field containing 104976 m 2 .,category physics 2 104976 324 4 1296 1296 12 15552 answer e find length wire required go 12 times round square field containing 104976 2,4,"['Category: physics # a 2 = 104976 = > a = 324 4 a = 1296 1296 * 12 = 15552 answer : e # ƫ ng @ a speed of 104976 km / hour and is traveling at a speed of 30 kmph, she travels ( 1 / 4 ) km at the end of the first hour and travels ( 1 / 3 ) km at the second hour. if one hour after the first hour completes 1 / 4 hour and the second hour after the second hour completes 1 / 3 hour, then the distance between the two stations is?']","(0.67, 10.0)",0.67,10.0,"['Category: physics # a 2 = 104976 = > a = 324 4 a = 1296 1296 * 12 = 15552 answer : e # ____________________________________ 190 if the sum of 3 consecutive even numbers is 1320, find the other number?']","(0.61, 3.0)",0.61,3.0,category physic 2 104976 324 4 1296 1296 12 15552 answer e ____________________________________ 190 sum 3 consecutive even number 1320 find number,0.07977864883560065,0.07977864883560065
32,32,198,836,"along a yard 225 metres long , 26 trees are palnted at equal distances , one tree being at each end of the yard . what is the distance between two consecutive trees","""explanation : 26 trees have 25 gaps between them , required distance ( 225 / 25 ) = 10 option b""","a ) 8 , b ) 9 , c ) 10 , d ) 11 , e ) 12",b,"divide(225, subtract(26, const_1))","subtract(n1,const_1)|divide(n0,#0)|",physics,"Category: physics # explanation : 26 trees have 25 gaps between them , required distance ( 225 / 25 ) = 10 option b # ","Category: physics # explanation : 26 trees have 25 gaps between them , required distance ( 225 / 25 ) = 10 option b # along a yard 225 metres long , 26 trees are palnted at equal distances , one tree being at each end of the yard . what is the distance between two consecutive trees",category physics explanation 26 trees 25 gaps required distance 225 25 10 option b along yard 225 metres long 26 trees palnted equal distances one tree end yard distance two consecutive trees,4,"['Category: physics # explanation : 26 trees have 25 gaps between them, required distance ( 225 / 25 ) = 10 option b # ƫkashu and khanu are 250 metres apart. they have planted at the rate of 25 km a day. after 15 days, the distance between them is 22 metres. what is the distance between them?']","(0.52, 4.0)",0.52,4.0,"['Category: physics # explanation : 26 trees have 25 gaps between them, required distance ( 225 / 25 ) = 10 option b # ernakulameterres long yard, 26 trees are palnted at equal distances, one tree being at each end of the yard. what is the distance between 2 consecutive trees']","(0.89, 2.0)",0.89,2.0,category physic explanation 26 tree 25 gap required distance 225 25 10 option b ernakulameterres long yard 26 tree palnted equal distance one tree end yard distance 2 consecutive tree,0.06663592344938898,0.06663592344938898
33,33,199,844,what is the angle between the minute and the hour hand of the clock which shows 12 : 24 ?,at 12 : 24 - minute hand will be at 24 * 6 = 144 degrees from position of 12 . - hour hand will move by 2 * 6 = 12 degree during the same time so the difference between the two hands will be 144 - 12 = 132 degrees . answer : e,"a ) 115 , b ) 120 , c ) 124 , d ) 130 , e ) 132",e,"subtract(multiply(24, multiply(const_3, const_2)), 12)","multiply(const_2,const_3)|multiply(n1,#0)|subtract(#1,n0)",physics,Category: physics # at 12 : 24 - minute hand will be at 24 * 6 = 144 degrees from position of 12 . - hour hand will move by 2 * 6 = 12 degree during the same time so the difference between the two hands will be 144 - 12 = 132 degrees . answer : e # ,Category: physics # at 12 : 24 - minute hand will be at 24 * 6 = 144 degrees from position of 12 . - hour hand will move by 2 * 6 = 12 degree during the same time so the difference between the two hands will be 144 - 12 = 132 degrees . answer : e # what is the angle between the minute and the hour hand of the clock which shows 12 : 24 ?,category physics 12 24 minute hand 24 6 144 degrees position 12 hour hand move 2 6 12 degree time difference two hands 144 12 132 degrees answer e angle minute hour hand clock shows 12 24,4,"['Category: physics # at 12 : 24 - minute hand will be at 24 * 6 = 144 degrees from position of 12. - hour hand will move by 2 * 6 = 12 degree during the same time so the difference between the two hands will be 144 - 12 = 132 degrees. answer : e # ƫ ng at 12 : 00 pm, wednesday, friday and friday is 30 miles ahead of the usual time. she has no stops. she spends 30 minutes per hour and works 10 minutes per hour. she spends the rest of the time she spends on her desk. she spends the rest on her desk and works 10 minutes per hour. she spends the rest on her desk. she spends the sum of her spend on her desk and 1 hour per hour. she spends the rest on her desk. she spends the rest on her desk and works 10 minutes per hour. she spends the rest on her desk. she spends the rest on her desk and works 15 minutes per hour and works 5 hours per hour. she spends her final desk on her desk and works 10 minutes per hour. she spends the rest on her desk and works 5 hours per hour. she spends 1 hour on her desk and works 23 minutes per hour, and spends 1 hour on her desk. she spends the rest on her desk and works 1 hour on her desk. she spends the rest on her desk and works 4 hours per hour, and spends the rest on her desk. she spends the rest on her desk and works 4 hours per hour, and spends the rest on her desk. she spends the rest on her desk and works her work. she spends the rest on her desk and works 4 hours per hour on her desk. she spends the rest on her desk and works the rest on her desk. she spends the rest on her desk and works at the rest on her desk. she spends the rest on her desk and works at the rest on her desk. she spends the rest on her desk and works at the rest on her desk and works at the rest on her desk. she spends the rest on her desk and works at the rest on her desk. she spends the rest on her desk and works at a constant speed. she spends the rest on her desk and works at the rest on her desk. she spends the rest on her desk and works at the rest on her desk and works for the rest on her desk. she spends the rest on her desk and works at the rest']","(0.77, 25.0)",0.77,25.0,"['Category: physics # at 12 : 24 - minute hand will be at 24 * 6 = 144 degrees from position of 12. - hour hand will move by 2 * 6 = 12 degree during the same time so the difference between the two hands will be 144 - 12 = 132 degrees. answer : e # ____________________________________________________________ 1 m shadow means original height ab x / 8 m ∴ 100 m ∴ x = 10368 x = 5. m = using formula for calculating the distance traveled by each wheel is 8 ( x + 5 ). # the circumference of a circular bed is 8 m. what is the value of m, allowing 4 cm 2 for the third digit?']","(0.74, 15.0)",0.74,15.0,category physic 12 24 minute hand 24 6 144 degree position 12 hour hand move 2 6 12 degree time difference two hand 144 12 132 degree answer e ____________________________________________________________ 1 shadow mean original height ab x 8 100 x 10368 x 5 using formula calculating distance traveled wheel 8 x 5 circumference circular bed 8 value allowing 4 cm 2 third digit,0.23818307585888865,0.23818307585888865
34,34,206,867,"220 metres long yard , 21 trees are palnted at equal distances , one tree being at each end of the yard . what is the distance between 2 consecutive trees","""21 trees have 20 gaps between them , required distance ( 220 / 20 ) = 11 d""","a ) 10 , b ) 12 , c ) 14 , d ) 11 , e ) 17",d,"divide(220, add(subtract(21, 2), const_1))","subtract(n1,n2)|add(#0,const_1)|divide(n0,#1)|",physics,"Category: physics # 21 trees have 20 gaps between them , required distance ( 220 / 20 ) = 11 d # ","Category: physics # 21 trees have 20 gaps between them , required distance ( 220 / 20 ) = 11 d # 220 metres long yard , 21 trees are palnted at equal distances , one tree being at each end of the yard . what is the distance between 2 consecutive trees",category physics 21 trees 20 gaps required distance 220 20 11 220 metres long yard 21 trees palnted equal distances one tree end yard distance 2 consecutive trees,4,"['Category: physics # 21 trees have 20 gaps between them, required distance ( 220 / 20 ) = 11 d # ʵ s garden is 22 metres long, 20 metre wide and 10 metre deep. the distance between them is?']","(0.76, 3.0)",0.76,3.0,"['Category: physics # 21 trees have 20 gaps between them, required distance ( 220 / 20 ) = 11 d # ________________________________ along a yard 414 metres long, 22 trees are palnted at equal distances, one tree being at each end of the yard. what is the distance between 2 consecutive trees']","(0.82, 2.0)",0.82,2.0,category physic 21 tree 20 gap required distance 220 20 11 ________________________________ along yard 414 metre long 22 tree palnted equal distance one tree end yard distance 2 consecutive tree,0.06271616324648374,0.06271616324648374
35,35,211,876,in school there are some bicycles and 4 wheeler wagons . one tuesday there are 190 wheels in the campus . how many bicycles are there ?,"let no . of bicycles be x & no . of wagons be y so , 2 x + 4 y = 190 by solving , we get no . of bicycles = 39 ( wheels = > 2 * 39 = 78 ) no . of wagons = 28 ( wheels = > 4 * 28 = 112 ) answer : e","a ) 35 , b ) 36 , c ) 37 , d ) 38 , e ) 39",e,"multiply(divide(190, add(multiply(4, const_2), const_2)), const_2)","multiply(n0,const_2)|add(#0,const_2)|divide(n1,#1)|multiply(#2,const_2)",physics,"Category: physics # let no . of bicycles be x & no . of wagons be y so , 2 x + 4 y = 190 by solving , we get no . of bicycles = 39 ( wheels = > 2 * 39 = 78 ) no . of wagons = 28 ( wheels = > 4 * 28 = 112 ) answer : e # ","Category: physics # let no . of bicycles be x & no . of wagons be y so , 2 x + 4 y = 190 by solving , we get no . of bicycles = 39 ( wheels = > 2 * 39 = 78 ) no . of wagons = 28 ( wheels = > 4 * 28 = 112 ) answer : e # in school there are some bicycles and 4 wheeler wagons . one tuesday there are 190 wheels in the campus . how many bicycles are there ?",category physics let bicycles x wagons 2 x 4 190 solving get bicycles 39 wheels 2 39 78 wagons 28 wheels 4 28 112 answer e school bicycles 4 wheeler wagons one tuesday 190 wheels campus many bicycles,4,"['Category: physics # let no. of bicycles be x & no. of wagons be y so, 2 x + 4 y = 190 by solving, we get no. of bicycles = 39 ( wheels = > 2 * 39 = 78 ) no. of wagons = 28 ( wheels = > 4 * 28 = 112 ) answer : e # ƫ œ together can teach 3 times as many number of bicycles as bert, but then ½ as many cases. how many more such pairs of german are there in which they are manufactured?']","(0.57, 2.0)",0.57,2.0,"['Category: physics # let no. of bicycles be x & no. of wagons be y so, 2 x + 4 y = 190 by solving, we get no. of bicycles = 39 ( wheels = > 2 * 39 = 78 ) no. of wagons = 28 ( wheels = > 4 * 28 = 112 ) answer : e # ____________________________________________________________ 190 if a n is the set of positive values of n ≠ similar values, then find the numbers.']","(0.63, 2.0)",0.63,2.0,category physic let bicycle x wagon 2 x 4 190 solving get bicycle 39 wheel 2 39 78 wagon 28 wheel 4 28 112 answer e ____________________________________________________________ 190 n set positive value n similar value find number,0.055107216970255946,0.055107216970255946
