,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Problem,Rationale,options,correct,annotated_formula,linear_formula,category,prompt,text,clean,cluster,gpt_generated,gpt_score,s_gptscore,n_gptscore,generated,score,s_score,n_score,generated_clean,labels,loss
26,26,144,615,"two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively . if they cross each other in 23 seconds , what is the ratio of their speeds ?","""speed = x and y resp length of first = 27 x length of second train = 17 y related speed = x + y time taken to cross each other = 23 s 27 x + 17 y / x + y = 23 27 x + 17 y = 23 ( x + y ) 4 x = 6 y x / y = 6 / 4 = 3 / 2 answer b""","a ) 1 : 2 , b ) 3 : 2 , c ) 3 : 1 , d ) 1 : 3 , e ) 1 : 4",b,"divide(subtract(27, 23), subtract(23, 17))","subtract(n0,n2)|subtract(n2,n1)|divide(#0,#1)|",physics,Category: physics # speed = x and y resp length of first = 27 x length of second train = 17 y related speed = x + y time taken to cross each other = 23 s 27 x + 17 y / x + y = 23 27 x + 17 y = 23 ( x + y ) 4 x = 6 y x / y = 6 / 4 = 3 / 2 answer b # ,"Category: physics # speed = x and y resp length of first = 27 x length of second train = 17 y related speed = x + y time taken to cross each other = 23 s 27 x + 17 y / x + y = 23 27 x + 17 y = 23 ( x + y ) 4 x = 6 y x / y = 6 / 4 = 3 / 2 answer b # two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively . if they cross each other in 23 seconds , what is the ratio of their speeds ?",category physics speed x resp length first 27 x length second train 17 related speed x time taken cross 23 27 x 17 x 23 27 x 17 23 x 4 x 6 x 6 4 3 2 answer b two trains running opposite directions cross man standing platform 27 seconds 17 seconds respectively cross 23 seconds ratio speeds,1,['Category: physics # speed = x and y resp length of first = 27 x length of second train = 17 y related speed = x + y time taken to cross each other = 23 s 27 x + 17 y / x + y = 23 27 x + 17 y = 23 ( x + y ) 4 x = 6 y x / y = 6 / 4 = 3 / 2 answer b # т starts at 9 a speed of 23 km / hr and goes 11 km / hr. when will they meet?'],"(0.0, 18.0)",0.78,3.0,['Category: physics # speed = x and y resp length of first = 27 x length of second train = 17 y related speed = x + y time taken to cross each other = 23 s 27 x + 17 y / x + y = 23 27 x + 17 y = 23 ( x + y ) 4 x = 6 y x / y = 6 / 4 = 3 / 2 answer b # ƞ two trains crosses a post in the same direction at 72 kmph and 17 seconds respectively. what is the length of the train?'],"(0.79, 2.0)",0.79,2.0,category physic speed x resp length first 27 x length second train 17 related speed x time taken cross 23 27 x 17 x 23 27 x 17 23 x 4 x 6 x 6 4 3 2 answer b ƞ two train cross post direction 72 kmph 17 second respectively length train,0.16800991940483573,0.4736842105263157
27,27,146,627,a train 450 metres long is moving at a speed of 25 kmph . it will cross a man coming from the opposite direction at a speed of 2 km per hour in :,"""relative speed = ( 25 + 2 ) km / hr = 27 km / hr = ( 27 × 5 / 18 ) m / sec = 15 / 2 m / sec . time taken by the train to pass the man = ( 450 × 2 / 15 ) sec = 60 sec answer : e""","a ) 30 sec , b ) 32 sec , c ) 36 sec , d ) 38 sec , e ) 60 sec",e,"multiply(const_3600, divide(divide(450, const_1000), add(25, 2)))","add(n1,n2)|divide(n0,const_1000)|divide(#1,#0)|multiply(#2,const_3600)|",physics,Category: physics # relative speed = ( 25 + 2 ) km / hr = 27 km / hr = ( 27 × 5 / 18 ) m / sec = 15 / 2 m / sec . time taken by the train to pass the man = ( 450 × 2 / 15 ) sec = 60 sec answer : e # ,Category: physics # relative speed = ( 25 + 2 ) km / hr = 27 km / hr = ( 27 × 5 / 18 ) m / sec = 15 / 2 m / sec . time taken by the train to pass the man = ( 450 × 2 / 15 ) sec = 60 sec answer : e # a train 450 metres long is moving at a speed of 25 kmph . it will cross a man coming from the opposite direction at a speed of 2 km per hour in :,category physics relative speed 25 2 km hr 27 km hr 27 5 18 sec 15 2 sec time taken train pass man 450 2 15 sec 60 sec answer e train 450 metres long moving speed 25 kmph cross man coming opposite direction speed 2 km per hour,1,['Category: physics # relative speed = ( 25 + 2 ) km / hr = 27 km / hr = ( 27 × 5 / 18 ) m / sec = 15 / 2 m / sec. time taken by the train to pass the man = ( 450 × 2 / 15 ) sec = 60 sec answer : e # т takes 15 seconds to cross a telegraph post. the length of the train is?'],"(0.0, 15.0)",0.75,3.0,['Category: physics # relative speed = ( 25 + 2 ) km / hr = 27 km / hr = ( 27 × 5 / 18 ) m / sec = 15 / 2 m / sec. time taken by the train to pass the man = ( 450 × 2 / 15 ) sec = 60 sec answer : e # ƞ t = 75 seconds answer : a # a train 450 metres long is moving at a speed of 25 kmph. it will cross a man coming from the opposite direction at a speed of 2 km per hour in :'],"(0.91, 4.0)",0.91,4.0,category physic relative speed 25 2 km hr 27 km hr 27 5 18 sec 15 2 sec time taken train pas man 450 2 15 sec 60 sec answer e ƞ 75 second answer train 450 metre long moving speed 25 kmph cross man coming opposite direction speed 2 km per hour,0.3037817730936144,0.3947368421052631
28,28,147,633,"in what time will a train 175 m long cross an electric pole , it its speed be 144 km / hr ?","""speed = 144 * 5 / 18 = 40 m / sec time taken = 175 / 40 = 4.37 sec . answer : c""","a ) 2.58 sec , b ) 2.91 sec , c ) 4.37 sec , d ) 2.9 sec , e ) 1.8 sec",c,"divide(175, multiply(144, const_0_2778))","multiply(n1,const_0_2778)|divide(n0,#0)|",physics,Category: physics # speed = 144 * 5 / 18 = 40 m / sec time taken = 175 / 40 = 4.37 sec . answer : c # ,"Category: physics # speed = 144 * 5 / 18 = 40 m / sec time taken = 175 / 40 = 4.37 sec . answer : c # in what time will a train 175 m long cross an electric pole , it its speed be 144 km / hr ?",category physics speed 144 5 18 40 sec time taken 175 40 437 sec answer c time train 175 long cross electric pole speed 144 km hr,1,['Category: physics # speed = 144 * 5 / 18 = 40 m / sec time taken = 175 / 40 = 4.37 sec. answer : c # ƫ at a speed of 144 km / hr was 10 minutes. what was the length of the train?'],"(0.0, 8.0)",0.65,2.0,"['Category: physics # speed = 144 * 5 / 18 = 40 m / sec time taken = 175 / 40 = 4.37 sec. answer : c # ˆ \x81 „ 400 h = 1.5 min answer : e # a train of 24 carriages, each boggy 15 metres long. the train crosses a telegraph post in 9 seconds. due to some problem, one boggies were detached. the train now crosses a telegraph post in']","(0.56, 4.0)",0.56,4.0,category physic speed 144 5 18 40 sec time taken 175 40 437 sec answer c ˆ x81 400 h 15 min answer e train 24 carriage boggy 15 metre long train cross telegraph post 9 second due problem one boggies detached train cross telegraph post,0.3353998760074396,0.2368421052631578
29,29,149,637,a train running at the speed of 40 km / hr crosses a pole in 9 sec . what is the length of the train ?,"""speed = 40 * 5 / 18 = 100 / 9 m / sec length of the train = speed * time = 100 / 9 * 9 = 100 m answer : a""","a ) 100 m , b ) 150 m , c ) 187 m , d ) 167 m , e ) 197 m",a,"multiply(divide(multiply(40, const_1000), const_3600), 9)","multiply(n0,const_1000)|divide(#0,const_3600)|multiply(n1,#1)|",physics,Category: physics # speed = 40 * 5 / 18 = 100 / 9 m / sec length of the train = speed * time = 100 / 9 * 9 = 100 m answer : a # ,Category: physics # speed = 40 * 5 / 18 = 100 / 9 m / sec length of the train = speed * time = 100 / 9 * 9 = 100 m answer : a # a train running at the speed of 40 km / hr crosses a pole in 9 sec . what is the length of the train ?,category physics speed 40 5 18 100 9 sec length train speed time 100 9 9 100 answer train running speed 40 km hr crosses pole 9 sec length train,1,['Category: physics # speed = 40 * 5 / 18 = 100 / 9 m / sec length of the train = speed * time = 100 / 9 * 9 = 100 m answer : a # т speed is 40 km / hr and l т speed is 45 km / hr. what is the length of the train?'],"(0.0, 11.0)",0.78,1.0,['Category: physics # speed = 40 * 5 / 18 = 100 / 9 m / sec length of the train = speed * time = 100 / 9 * 9 = 100 m answer : a # ˆ ¨ x = 400 m. answer : e # a train running at the speed of 40 km / hr crosses a pole in 9 seconds. what is the length of the train?'],"(0.87, 3.0)",0.87,3.0,category physic speed 40 5 18 100 9 sec length train speed time 100 9 9 100 answer ˆ x 400 answer e train running speed 40 km hr cross pole 9 second length train,0.2436453812771234,0.2894736842105263
30,30,152,649,a 240 meter long train running at the speed of 120 kmph crosses another train running in the opposite direction at the speed of 80 kmph in 9 seconds . what is the lenght of other train .,"""relative speeds = ( 120 + 80 ) km / hr = 200 km / hr = ( 200 * 5 / 18 ) m / s = ( 500 / 9 ) m / s let length of train be xm x + 240 / 9 = 500 / 9 x = 260 ans is 260 m answer : a""","a ) 260 m , b ) 220 m , c ) 230 m , d ) 240 m , e ) 250 m",a,"subtract(multiply(9, multiply(add(120, 80), const_0_2778)), 240)","add(n1,n2)|multiply(#0,const_0_2778)|multiply(n3,#1)|subtract(#2,n0)|",physics,Category: physics # relative speeds = ( 120 + 80 ) km / hr = 200 km / hr = ( 200 * 5 / 18 ) m / s = ( 500 / 9 ) m / s let length of train be xm x + 240 / 9 = 500 / 9 x = 260 ans is 260 m answer : a # ,Category: physics # relative speeds = ( 120 + 80 ) km / hr = 200 km / hr = ( 200 * 5 / 18 ) m / s = ( 500 / 9 ) m / s let length of train be xm x + 240 / 9 = 500 / 9 x = 260 ans is 260 m answer : a # a 240 meter long train running at the speed of 120 kmph crosses another train running in the opposite direction at the speed of 80 kmph in 9 seconds . what is the lenght of other train .,category physics relative speeds 120 80 km hr 200 km hr 200 5 18 500 9 let length train xm x 240 9 500 9 x 260 ans 260 answer 240 meter long train running speed 120 kmph crosses another train running opposite direction speed 80 kmph 9 seconds lenght train,1,['Category: physics # relative speeds = ( 120 + 80 ) km / hr = 200 km / hr = ( 200 * 5 / 18 ) m / s = ( 500 / 9 ) m / s let length of train be xm x + 240 / 9 = 500 / 9 x = 260 ans is 260 m answer : a # т completes a 250 meters long train running at 60 kmph. a speed of 120 kmph alongside the engine of a 120 km in 9 hours. what is the length of the train?'],"(0.0, 18.0)",0.66,5.0,['Category: physics # relative speeds = ( 120 + 80 ) km / hr = 200 km / hr = ( 200 * 5 / 18 ) m / s = ( 500 / 9 ) m / s let length of train be xm x + 240 / 9 = 500 / 9 x = 260 ans is 260 m answer : a # ˆ ¨ x = 260 meter long train running at the speed of 120 kmph crosses another train running in the opposite direction at the speed of 80 kmph in 9 seconds. what is the lenght of other train.'],"(0.98, 1.0)",0.98,1.0,category physic relative speed 120 80 km hr 200 km hr 200 5 18 500 9 let length train xm x 240 9 500 9 x 260 an 260 answer ˆ x 260 meter long train running speed 120 kmph cross another train running opposite direction speed 80 kmph 9 second lenght train,0.0985740855548667,0.4736842105263157
31,31,155,658,a train 310 meters long is running with a speed of 60 kmph . in what time will it pass a man who is running at 6 kmph in the direction opposite to that in which the train is going ?,"""speed of train relative to man = ( 60 + 6 ) km / hr = 66 km / hr [ 66 * 5 / 18 ] m / sec = [ 55 / 3 ] m / sec . time taken to pass the man = [ 310 * 3 / 55 ] sec = 17 sec answer : d""","a ) 4 , b ) 6 , c ) 5 , d ) 17 , e ) 13",d,"multiply(const_3600, divide(divide(310, const_1000), add(60, 6)))","add(n1,n2)|divide(n0,const_1000)|divide(#1,#0)|multiply(#2,const_3600)|",physics,Category: physics # speed of train relative to man = ( 60 + 6 ) km / hr = 66 km / hr [ 66 * 5 / 18 ] m / sec = [ 55 / 3 ] m / sec . time taken to pass the man = [ 310 * 3 / 55 ] sec = 17 sec answer : d # ,Category: physics # speed of train relative to man = ( 60 + 6 ) km / hr = 66 km / hr [ 66 * 5 / 18 ] m / sec = [ 55 / 3 ] m / sec . time taken to pass the man = [ 310 * 3 / 55 ] sec = 17 sec answer : d # a train 310 meters long is running with a speed of 60 kmph . in what time will it pass a man who is running at 6 kmph in the direction opposite to that in which the train is going ?,category physics speed train relative man 60 6 km hr 66 km hr 66 5 18 sec 55 3 sec time taken pass man 310 3 55 sec 17 sec answer train 310 meters long running speed 60 kmph time pass man running 6 kmph direction opposite train going,1,['Category: physics # speed of train relative to man = ( 60 + 6 ) km / hr = 66 km / hr [ 66 * 5 / 18 ] m / sec = [ 55 / 3 ] m / sec. time taken to pass the man = [ 310 * 3 / 55 ] sec = 17 sec answer : d # т starts a 330 metre long train running at the speed of 60 kmph alongside a railway track in 3 seconds. it goes 36 kmph in the same direction at the speed of 60 kmph. at what time will the train pass the jogger?'],"(1.0, 15.0)",0.66,4.0,['Category: physics # speed of train relative to man = ( 60 + 6 ) km / hr = 66 km / hr [ 66 * 5 / 18 ] m / sec = [ 55 / 3 ] m / sec. time taken to pass the man = [ 310 * 3 / 55 ] sec = 17 sec answer : d # ƞ 550 meters long train running with a speed of 60 kmph in the direction of the moving train if the speed of the train is 60 kmph?'],"(0.8, 2.0)",0.8,2.0,category physic speed train relative man 60 6 km hr 66 km hr 66 5 18 sec 55 3 sec time taken pas man 310 3 55 sec 17 sec answer ƞ 550 meter long train running speed 60 kmph direction moving train speed train 60 kmph,0.16800991940483573,0.3947368421052631
32,32,162,679,two trains are moving in the same direction at 72 kmph and 36 kmph . the faster train crosses a man in the slower train in 48 seconds . find the length of the faster train ?,"""relative speed = ( 72 - 36 ) * 5 / 18 = 2 * 5 = 10 mps . distance covered in 27 sec = 48 * 10 = 480 m . the length of the faster train = 480 m . answer : e""","a ) 270 , b ) 288 , c ) 266 , d ) 299 , e ) 480",e,"multiply(divide(subtract(72, 36), const_3_6), 48)","subtract(n0,n1)|divide(#0,const_3_6)|multiply(n2,#1)|",physics,Category: physics # relative speed = ( 72 - 36 ) * 5 / 18 = 2 * 5 = 10 mps . distance covered in 27 sec = 48 * 10 = 480 m . the length of the faster train = 480 m . answer : e # ,Category: physics # relative speed = ( 72 - 36 ) * 5 / 18 = 2 * 5 = 10 mps . distance covered in 27 sec = 48 * 10 = 480 m . the length of the faster train = 480 m . answer : e # two trains are moving in the same direction at 72 kmph and 36 kmph . the faster train crosses a man in the slower train in 48 seconds . find the length of the faster train ?,category physics relative speed 72 36 5 18 2 5 10 mps distance covered 27 sec 48 10 480 length faster train 480 answer e two trains moving direction 72 kmph 36 kmph faster train crosses man slower train 48 seconds find length faster train,1,"['Category: physics # relative speed = ( 72 - 36 ) * 5 / 18 = 2 * 5 = 10 mps. distance covered in 27 sec = 48 * 10 = 480 m. the length of the faster train = 480 m. answer : e # т speed is 72 km / hr and is 36 km / hr. if the length of the faster train is 36 km / hr, then what is the length of the faster train?']","(0.0, 15.0)",0.64,1.0,"['Category: physics # relative speed = ( 72 - 36 ) * 5 / 18 = 2 * 5 = 10 mps. distance covered in 27 sec = 48 * 10 = 480 m. the length of the faster train = 480 m. answer : e # ƞ s = 40 * 10 = 1200 answer : b # two trains of length 120 m and 280 m are running on parallel rails at the rate of 40 kmph and 36 kmph respectively. in how much time will they cross each other, if they are running in the same direction?']","(0.52, 7.0)",0.52,7.0,category physic relative speed 72 36 5 18 2 5 10 mp distance covered 27 sec 48 10 480 length faster train 480 answer e ƞ 40 10 1200 answer b two train length 120 280 running parallel rail rate 40 kmph 36 kmph respectively much time cross running direction,0.46559206447613144,0.3947368421052631
33,33,168,707,how many seconds will a train 100 meters long take to cross a bridge 130 meters long if the speed of the train is 36 kmph ?,"""explanation : d = 100 + 130 = 230 s = 36 * 5 / 18 = 10 mps t = 230 / 10 = 23 sec answer : option d""","a ) 26 , b ) 72 , c ) 25 , d ) 23 , e ) 27",d,"divide(add(130, 100), multiply(36, const_0_2778))","add(n0,n1)|multiply(n2,const_0_2778)|divide(#0,#1)|",physics,Category: physics # explanation : d = 100 + 130 = 230 s = 36 * 5 / 18 = 10 mps t = 230 / 10 = 23 sec answer : option d # ,Category: physics # explanation : d = 100 + 130 = 230 s = 36 * 5 / 18 = 10 mps t = 230 / 10 = 23 sec answer : option d # how many seconds will a train 100 meters long take to cross a bridge 130 meters long if the speed of the train is 36 kmph ?,category physics explanation 100 130 230 36 5 18 10 mps 230 10 23 sec answer option many seconds train 100 meters long take cross bridge 130 meters long speed train 36 kmph,1,"['Category: physics # explanation : d = 100 + 130 = 230 s = 36 * 5 / 18 = 10 mps t = 230 / 10 = 23 sec answer : option d # т moves at the rate of 36 kmph, s is 60 kmph and t = 180 kmph. find the time it will take to pass each other completely.']","(0.0, 13.0)",0.55,3.0,['Category: physics # explanation : d = 100 + 130 = 230 s = 36 * 5 / 18 = 10 mps t = 230 / 10 = 23 sec answer : option d # ƞ 1020 sec = # how many seconds will a train 100 meters long take to cross a bridge 130 meters long if the speed of the train is 36 kmph?'],"(0.94, 4.0)",0.94,4.0,category physic explanation 100 130 230 36 5 18 10 mp 230 10 23 sec answer option ƞ 1020 sec many second train 100 meter long take cross bridge 130 meter long speed train 36 kmph,0.3075015499070056,0.3421052631578947
34,34,170,729,"two trains 200 m and 150 m long are running on parallel rails at the rate of 40 kmph and 45 kmph respectively . in how much time will they cross each other , if they are running in the same direction ?",solution relative speed = ( 45 - 40 ) kmph = 5 kmph = ( 5 x 5 / 18 ) m / sec = ( 25 / 18 ) m / sec time taken = ( 350 x 18 / 25 ) sec = 252 sec . answer d,"a ) 72 sec , b ) 132 sec , c ) 192 sec , d ) 252 sec , e ) none",d,"multiply(const_3600, divide(divide(add(200, 150), const_1000), subtract(45, 40)))","add(n0,n1)|subtract(n3,n2)|divide(#0,const_1000)|divide(#2,#1)|multiply(#3,const_3600)",physics,Category: physics # solution relative speed = ( 45 - 40 ) kmph = 5 kmph = ( 5 x 5 / 18 ) m / sec = ( 25 / 18 ) m / sec time taken = ( 350 x 18 / 25 ) sec = 252 sec . answer d # ,"Category: physics # solution relative speed = ( 45 - 40 ) kmph = 5 kmph = ( 5 x 5 / 18 ) m / sec = ( 25 / 18 ) m / sec time taken = ( 350 x 18 / 25 ) sec = 252 sec . answer d # two trains 200 m and 150 m long are running on parallel rails at the rate of 40 kmph and 45 kmph respectively . in how much time will they cross each other , if they are running in the same direction ?",category physics solution relative speed 45 40 kmph 5 kmph 5 x 5 18 sec 25 18 sec time taken 350 x 18 25 sec 252 sec answer two trains 200 150 long running parallel rails rate 40 kmph 45 kmph respectively much time cross running direction,1,['Category: physics # solution relative speed = ( 45 - 40 ) kmph = 5 kmph = ( 5 x 5 / 18 ) m / sec = ( 25 / 18 ) m / sec time taken = ( 350 x 18 / 25 ) sec = 252 sec. answer d # т has run 400 meters in the next 20 seconds and a man is traveling 45 km in the same direction. in how much time will they be clear of each other from the moment they meet?'],"(0.0, 16.0)",0.63,4.0,['Category: physics # solution relative speed = ( 45 - 40 ) kmph = 5 kmph = ( 5 x 5 / 18 ) m / sec = ( 25 / 18 ) m / sec time taken = ( 350 x 18 / 25 ) sec = 252 sec. answer d # ƞ 200 m long train crosses a tree in 39 seconds. what is the speed of the train?'],"(0.76, 3.0)",0.76,3.0,category physic solution relative speed 45 40 kmph 5 kmph 5 x 5 18 sec 25 18 sec time taken 350 x 18 25 sec 252 sec answer ƞ 200 long train cross tree 39 second speed train,0.23124612523248606,0.4210526315789473
35,35,172,737,how long does a train 125 m long running at the speed of 78 km / hr takes to cross a bridge 125 m length ?,"""speed = 78 * 5 / 18 = 21.7 m / sec total distance covered = 125 + 125 = 250 m . required time = 250 / 21.7 ' = 11.5 sec . answer : c""","a ) 12.7 sec , b ) 10.1 sec , c ) 11.5 sec , d ) 12.1 sec , e ) 11.7 sec",c,"divide(add(125, 125), multiply(78, const_0_2778))","add(n0,n2)|multiply(n1,const_0_2778)|divide(#0,#1)|",physics,Category: physics # speed = 78 * 5 / 18 = 21.7 m / sec total distance covered = 125 + 125 = 250 m . required time = 250 / 21.7 ' = 11.5 sec . answer : c # ,Category: physics # speed = 78 * 5 / 18 = 21.7 m / sec total distance covered = 125 + 125 = 250 m . required time = 250 / 21.7 ' = 11.5 sec . answer : c # how long does a train 125 m long running at the speed of 78 km / hr takes to cross a bridge 125 m length ?,category physics speed 78 5 18 217 sec total distance covered 125 125 250 required time 250 217 115 sec answer c long train 125 long running speed 78 km hr takes cross bridge 125 length,1,"[""Category: physics # speed = 78 * 5 / 18 = 21.7 m / sec total distance covered = 125 + 125 = 250 m. required time = 250 / 21.7'= 11.5 sec. answer : c # т moves eastward at a speed of 78 kmph and upstream at a speed of 125 kmph. the time it took to cover the first 125 km is?""]","(0.0, 10.0)",0.62,2.0,"[""Category: physics # speed = 78 * 5 / 18 = 21.7 m / sec total distance covered = 125 + 125 = 250 m. required time = 250 / 21.7'= 11.5 sec. answer : c # ˆ ¨ x = 22.7 sec. answer : b # how long does a train 125 m long running at the speed of 78 km / hr takes to cross a bridge 125 m length?""]","(0.82, 0.0)",0.82,0.0,category physic speed 78 5 18 217 sec total distance covered 125 125 250 required time 250 217 115 sec answer c ˆ x 227 sec answer b long train 125 long running speed 78 km hr take cross bridge 125 length,0.30626162430254183,0.3421052631578947
36,36,173,741,"the length of the bridge , which a train 110 meters long and travelling at 45 km / hr can cross in 30 seconds , is :","""speed = ( 45 * 5 / 18 ) m / sec = ( 25 / 2 ) m / sec . time = 30 sec . let the length of bridge be x meters . then , ( 110 + x ) / 30 = 25 / 2 = = > 2 ( 110 + x ) = 750 = = > x = 265 m . answer : option a""","a ) 265 , b ) 244 , c ) 245 , d ) 238 , e ) 236",a,"subtract(multiply(divide(multiply(45, speed(const_1000, const_1)), speed(const_3600, const_1)), 30), 110)","speed(const_1000,const_1)|speed(const_3600,const_1)|multiply(n1,#0)|divide(#2,#1)|multiply(n2,#3)|subtract(#4,n0)|",physics,"Category: physics # speed = ( 45 * 5 / 18 ) m / sec = ( 25 / 2 ) m / sec . time = 30 sec . let the length of bridge be x meters . then , ( 110 + x ) / 30 = 25 / 2 = = > 2 ( 110 + x ) = 750 = = > x = 265 m . answer : option a # ","Category: physics # speed = ( 45 * 5 / 18 ) m / sec = ( 25 / 2 ) m / sec . time = 30 sec . let the length of bridge be x meters . then , ( 110 + x ) / 30 = 25 / 2 = = > 2 ( 110 + x ) = 750 = = > x = 265 m . answer : option a # the length of the bridge , which a train 110 meters long and travelling at 45 km / hr can cross in 30 seconds , is :",category physics speed 45 5 18 sec 25 2 sec time 30 sec let length bridge x meters 110 x 30 25 2 2 110 x 750 x 265 answer option length bridge train 110 meters long travelling 45 km hr cross 30 seconds,1,"['Category: physics # speed = ( 45 * 5 / 18 ) m / sec = ( 25 / 2 ) m / sec. time = 30 sec. let the length of bridge be x meters. then, ( 110 + x ) / 30 = 25 / 2 = = > 2 ( 110 + x ) = 750 = = > x = 265 m. answer : option a # т crossing a platform 110 meters long can cross in 30 seconds and 25 seconds respectively in 25 seconds. what is the length of the bridge, in meters?']","(0.0, 17.0)",0.61,3.0,"['Category: physics # speed = ( 45 * 5 / 18 ) m / sec = ( 25 / 2 ) m / sec. time = 30 sec. let the length of bridge be x meters. then, ( 110 + x ) / 30 = 25 / 2 = = > 2 ( 110 + x ) = 750 = = > x = 265 m. answer : option a # ƞ 10 * t s = 265 m. answer : e # the length of the bridge, which a train 110 meters long and travelling at 45 km / hr can cross in 30 seconds, is :']","(0.84, 5.0)",0.84,5.0,category physic speed 45 5 18 sec 25 2 sec time 30 sec let length bridge x meter 110 x 30 25 2 2 110 x 750 x 265 answer option ƞ 10 265 answer e length bridge train 110 meter long travelling 45 km hr cross 30 second,0.36887786732796035,0.4473684210526316
37,37,176,748,"a train 1200 m long is running at a speed of 78 km / hr . if it crosses a tunnel in 1 min , then the length of the tunnel is ?","""speed = 78 * 5 / 18 = 65 / 3 m / sec . time = 1 min = 60 sec . let the length of the train be x meters . then , ( 1200 + x ) / 60 = 65 / 3 x = 100 m . answer : d""","a ) 2898 , b ) 277 , c ) 500 , d ) 100 , e ) 435",d,"divide(1200, multiply(subtract(78, 1), const_0_2778))","subtract(n1,n2)|multiply(#0,const_0_2778)|divide(n0,#1)|",physics,"Category: physics # speed = 78 * 5 / 18 = 65 / 3 m / sec . time = 1 min = 60 sec . let the length of the train be x meters . then , ( 1200 + x ) / 60 = 65 / 3 x = 100 m . answer : d # ","Category: physics # speed = 78 * 5 / 18 = 65 / 3 m / sec . time = 1 min = 60 sec . let the length of the train be x meters . then , ( 1200 + x ) / 60 = 65 / 3 x = 100 m . answer : d # a train 1200 m long is running at a speed of 78 km / hr . if it crosses a tunnel in 1 min , then the length of the tunnel is ?",category physics speed 78 5 18 65 3 sec time 1 min 60 sec let length train x meters 1200 x 60 65 3 x 100 answer train 1200 long running speed 78 km hr crosses tunnel 1 min length tunnel,1,"['Category: physics # speed = 78 * 5 / 18 = 65 / 3 m / sec. time = 1 min = 60 sec. let the length of the train be x meters. then, ( 1200 + x ) / 60 = 65 / 3 x = 100 m. answer : d # ʵ œ speed is 78 kmph and the speed of a train is 60 kmph. what is the length of the train?']","(0.0, 15.0)",0.62,3.0,"['Category: physics # speed = 78 * 5 / 18 = 65 / 3 m / sec. time = 1 min = 60 sec. let the length of the train be x meters. then, ( 1200 + x ) / 60 = 65 / 3 x = 100 m. answer : d # ƞ 300 = 72 * 60 / 2 = 1800 answer : e # the length of a train and that of a platform are equal. if with a speed of 78 k / hr, the train crosses the platform in one minute, then the length of the train ( in meters ) is?']","(0.65, 6.0)",0.65,6.0,category physic speed 78 5 18 65 3 sec time 1 min 60 sec let length train x meter 1200 x 60 65 3 x 100 answer ƞ 300 72 60 2 1800 answer e length train platform equal speed 78 k hr train cross platform one minute length train meter,0.4097954122752635,0.3947368421052631
38,38,178,760,how long does a truck of 200 m long traveling at 60 kmph takes to cross a bridge of 180 m in length ?,d = 200 + 180 = 380 m s = 60 * 5 / 18 = 50 / 3 t = 380 * 3 / 50 = 22.8 sec answer : c,"a ) 36.7 , b ) 26.8 , c ) 22.8 , d ) 21.1 , e ) 16.2",c,"divide(add(200, 180), multiply(60, const_0_2778))","add(n0,n2)|multiply(n1,const_0_2778)|divide(#0,#1)",physics,Category: physics # d = 200 + 180 = 380 m s = 60 * 5 / 18 = 50 / 3 t = 380 * 3 / 50 = 22.8 sec answer : c # ,Category: physics # d = 200 + 180 = 380 m s = 60 * 5 / 18 = 50 / 3 t = 380 * 3 / 50 = 22.8 sec answer : c # how long does a truck of 200 m long traveling at 60 kmph takes to cross a bridge of 180 m in length ?,category physics 200 180 380 60 5 18 50 3 380 3 50 228 sec answer c long truck 200 long traveling 60 kmph takes cross bridge 180 length,1,['Category: physics # d = 200 + 180 = 380 m s = 60 * 5 / 18 = 50 / 3 t = 380 * 3 / 50 = 22.8 sec answer : c # ƫu and ƫu are 300 meters away from a distance of 200 meters. how long will it take to pass each other completely in 50 seconds? ( 60 seconds )'],"(0.0, 14.0)",0.59,4.0,['Category: physics # d = 200 + 180 = 380 m s = 60 * 5 / 18 = 50 / 3 t = 380 * 3 / 50 = 22.8 sec answer : c # ƞ two trains each 190 m in length are running on the same parallel lines in opposite directions with the speed of 60 kmph and 180 kmph respectively. in what time will they cross each other completely?'],"(0.57, 1.0)",0.57,1.0,category physic 200 180 380 60 5 18 50 3 380 3 50 228 sec answer c ƞ two train 190 length running parallel line opposite direction speed 60 kmph 180 kmph respectively time cross completely,0.09671419714817112,0.3947368421052631
